name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
NGC147,g,8.3004,48.5089,676.08,28.02,3.17,-,-14.65,0.13,-193.1,0.8,McConnachie2012
AndXXX,g,9.1454,49.6467,682.34,56.56,1.35,0.15,-7.97,0.35,-139.8,6.3,McConnachie2012
AndromedaXIV,g,12.8958,29.6969,794.33,113.4,1.7,0.8,-8.6,0.59,-480.6,1.2,McConnachie2012
AndromedaXII,g,11.8625,34.3747,928.97,91.98,1.2,0.2,-6.54,1.22,-558.4,3.2,McConnachie2012
AndromedaXV,g,18.5779,38.1175,625.17,54.7,1.21,0.05,-9.38,0.36,-323.0,1.4,McConnachie2012
AndromedaII,g,19.1242,33.4192,651.63,18.01,6.2,0.2,-12.57,0.21,-192.4,0.5,McConnachie2012
NGC185,g,9.7417,48.3375,616.6,25.56,2.55,-,-14.75,0.13,-203.8,1.1,McConnachie2012
AndromedaXXIX,g,359.7317,30.7556,731.14,74.07,1.7,0.2,-8.32,0.46,-194.4,1.5,McConnachie2012
Triangulum,g,23.4621,30.6603,809.1,22.36,-,-,-18.84,0.12,-179.2,1.7,McConnachie2012
AndromedaXXIV,g,19.625,46.3661,599.79,33.15,2.1,0.1,-7.59,0.51,-128.2,5.2,McConnachie2012
AndromedaVII,g,351.6321,50.6758,762.08,35.1,3.5,0.1,-13.21,0.32,-307.2,1.3,McConnachie2012
IC10,g,5.0721,59.3039,794.33,43.9,2.65,-,-15.0,0.23,-348.0,1.0,McConnachie2012
AndXXXI,g,344.5679,41.2911,758.58,41.92,4.2,0.45,-11.7,0.71,-,-,McConnachie2012
LGS3,g,15.9792,21.885,769.13,24.79,2.1,0.2,-10.13,0.12,-286.5,0.3,McConnachie2012
AndromedaVI,g,357.9429,24.5825,783.43,25.25,2.3,0.2,-11.47,0.21,-339.8,1.9,McConnachie2012
AndromedaXXII,g,21.9167,28.0903,920.45,91.13,0.94,0.1,-6.82,0.83,-129.8,2.0,McConnachie2012
AndromedaXVI,g,14.8742,32.3767,476.43,36.2,0.89,0.05,-8.99,0.34,-367.3,2.8,McConnachie2012
AndromedaXXVIII,g,338.1717,31.2161,660.69,106.49,1.11,0.21,-8.5,0.74,-326.2,2.7,McConnachie2012
AndXXXIII,g,45.3483,40.9883,772.68,64.05,1.7,0.4,-10.34,0.72,-,-,McConnachie2012
IC1613,g,16.1992,2.1178,755.09,41.73,6.81,-,-15.19,0.16,-231.6,1.2,McConnachie2012
Phoenix,g,27.7762,-44.4447,414.95,19.11,3.76,-,-9.89,0.41,-13.0,9.0,McConnachie2012
Eridanus2,g,56.0879,-43.5333,380.19,35.02,1.53,0.12,-6.6,0.22,-,-,McConnachie2012/Koposov2015
NGC6822,g,296.2358,-14.7892,459.2,16.92,2.65,-,-15.21,0.22,-54.5,1.7,McConnachie2012
Cetus,g,6.5458,-11.0444,755.09,24.34,3.2,0.1,-11.29,0.21,-83.9,1.2,McConnachie2012
PegasusdIrr,g,352.1512,14.7431,920.45,29.67,2.1,0.04,-12.22,0.21,-179.5,1.5,McConnachie2012
LeoT,g,143.7225,17.0514,416.87,19.2,0.99,0.06,-8.0,0.51,38.1,2.0,McConnachie2012
WLM,g,0.4925,-15.4608,933.25,34.38,8.62,0.26,-14.25,0.13,-130.0,1.0,McConnachie2012
AndromedaXVIII,g,0.5604,45.0889,1213.39,41.91,0.92,0.06,-9.42,-,-332.1,2.7,McConnachie2012
LeoA,g,149.8604,30.7464,797.99,44.1,2.15,-,-12.11,0.23,24.0,1.5,McConnachie2012
Aquarius,g,311.7158,-12.8481,1071.52,39.48,1.47,0.04,-10.65,0.13,-137.7,2.1,McConnachie2012
Tucana,g,340.4567,-64.4194,887.16,49.03,1.1,0.2,-9.54,0.23,194.0,4.3,McConnachie2012
SagittariusdIrr,g,292.4958,-17.6808,1066.6,88.41,0.91,0.05,-11.54,0.27,-78.5,1.0,McConnachie2012
UGC4879,g,139.0092,52.84,1361.44,25.08,0.41,0.04,-12.47,0.2,-29.2,1.45,McConnachie2012
AntliaB,g,147.2338,-25.99,1294.2,95.36,0.72,0.07,-9.66,0.62,376.0,2.0,McConnachie2012
NGC3109,g,150.7788,-26.1597,1300.17,47.9,4.3,0.1,-14.87,0.13,403.0,2.0,McConnachie2012
SextansB,g,150.0004,5.3322,1425.61,19.7,1.06,0.1,-14.47,0.2,304.0,1.0,McConnachie2012
Antlia,g,151.0171,-27.3311,1348.96,62.12,1.2,0.12,-10.45,0.22,362.0,2.0,McConnachie2012
